label,prediction
77408,43123.5270406
118374,172965.467393
73847,106421.120589
92449,37510.3799787
156181,147769.167393
143251,119168.291265
119654,87356.3400829
99337,94699.8613273
95935,116004.763809
94994,130722.74578
121166,73367.6206305
110792,115294.237392
247273,256265.41492
200345,167317.338459
257908,99895.3758153
62889,102180.348953
69816,217520.503911
73269,121257.025105
395314,366388.472833
176898,127307.379073
172107,167500.42932
61155,36672.7271748
273348,295104.589001
217337,208180.624564
90883,135697.74213
126536,108992.625102
75215,118043.058467
637917,513643.703532
47836,111362.153394
154403,179579.312423
142492,135666.377822
197423,309875.538315
89890,103426.310513
131961,126920.995461
112795,143621.428613
184789,384115.603704
118686,100081.652894
196088,245925.47092
107989,203584.960199
354844,298987.903936
100016,194114.330428
155292,87369.2334516
211199,224718.3881
186272,263692.602401
227936,227544.792474
239639,245471.50359
352024,194603.311769
403295,338056.88656
83056,101098.098818
152998,111187.931658
44250,119832.039333
257726,331197.330848
87571,181689.133026
72791,135386.007783
66881,83711.4286985
85887,68451.3504785
333315,345957.297401
430813,349034.376436
202108,172871.983793
152921,229833.354288
120165,181641.664961
38634,88032.9807468
78616,215294.855487
120530,106287.558404
169008,170735.885013
113679,142771.387393
348087,275462.421469
169028,93435.8305418
124909,128502.815651
91035,128275.711582
70481,176738.111572
134558,140556.589786
230253,194481.839321
153900,187169.983038
59050,127930.593132
135075,107915.279407
395711,370580.956743
123363,96223.869842
199830,223266.840611
132381,181693.307492
177409,185767.483647
305217,234213.006488
84379,120977.27113
166578,199160.596538
130892,225005.673244
251056,265215.725207
72588,92100.53319
130796,66720.462627
263193,224942.068784
783314,531510.691317
40250,88032.9807468
269262,285473.390733
123510,87516.0921482
225390,220909.297342
675081,563097.799246
224445,281668.726328
89928,121976.610036
165834,212581.187936
233132,297945.136222
96437,97962.9581784
83468,59323.2296826
348869,290018.013347
115112,95318.7385147
337696,359158.533153
252456,224516.650471
573803,516206.485352
90085,87249.4240511
47579,63805.5419756
514481,365140.066668
97102,139124.723247
634939,570523.787271
161918,74351.9460816
103274,111596.300527
103276,134939.504853
83035,154544.596565
117512,140486.471411
243399,261117.093217
41094,146731.167793
74904,148829.135638
79388,128248.943808
532398,394605.268654
58664,66793.9510365
58576,128191.577036
120405,101468.66763
133985,101977.249744
194197,310661.546839
72137,100479.862159
53660,80705.7967016
88304,63059.3688725
121161,91605.96836
107579,67316.2451075
71827,28480.5229717
166103,165363.661245
158230,91367.366499
259783,212729.296509
34444,32213.8361136
293074,323520.877679
224682,340237.214985
191975,284703.426402
73350,182494.818124
246591,402780.420773
197030,132166.279624
124681,73219.0329453
95885,140951.559202
581382,502658.938537
339756,319954.12072
215795,351831.712106
128129,129523.758805
128129,129523.758805
128287,129523.758805
128287,129523.758805
119418,217434.362984
203556,223763.650881
88684,94388.9611481
179152,232787.645819
199956,211615.361961
