"Address",Latitude,Longitude
"4510 Camelia St, Pittsburgh, PA 15201",40.482055,-79.938133
"511 56th St, Pittsburgh, PA 15201",40.482854,-79.944716
"5602 Duncan St, Pittsburgh, PA 15201",40.482796,-79.945956
"5610 Celadine St, Pittsburgh, PA 15201",40.481945,-79.944525
"5616 Camelia St, Pittsburgh, PA 15201",40.481909,-79.943092
"5616 Donson Way, Pittsburgh, PA 15201",40.484319,-79.94696
"5638 Carnegie St, Pittsburgh, PA 15201",40.484221,-79.94617
"808 56th St, Pittsburgh, PA 15201",40.482098,-79.944343
"128 Hawthorne Ct, Pittsburgh, PA 15201",40.487268,-79.933163
"129 Hawthorne Ct, Pittsburgh, PA 15201",40.487706,-79.933181
"133 Hawthorne Ct, Pittsburgh, PA 15201",40.487693,-79.933358
"1559 Woodbine St, Pittsburgh, PA 15201",40.486782,-79.935338
"1621 Hawthorne St, Pittsburgh, PA 15201",40.487007,-79.932745
"170 49th St, Pittsburgh, PA 15201",40.477723,-79.958078
"172 49th St, Pittsburgh, PA 15201",40.47768,-79.958055
"3508 Butler St, Pittsburgh, PA 15201",40.464118,-79.965898
"3508 Leech St, Pittsburgh, PA 15201",40.464549,-79.965116
"3512 Leech St, Pittsburgh, PA 15201",40.464629,-79.965114
"3515 Leech St, Pittsburgh, PA 15201",40.464722,-79.965317
"359 Main St, Pittsburgh, PA 15201",40.466423,-79.955916
"4206 Calvin St, Pittsburgh, PA 15201",40.466316,-79.954708
"4601 Amsterdam St, Pittsburgh, PA 15201",40.487036,-79.933581
"4605 Amsterdam St, Pittsburgh, PA 15201",40.486982,-79.933426
"4821 Hatfield St, Pittsburgh, PA 15201",40.477154,-79.958461
"4831 Hatfield St, Pittsburgh, PA 15201",40.477275,-79.958249
"4832 Plum Way, Pittsburgh, PA 15201",40.477226,-79.958615
"4833 Hatfield St, Pittsburgh, PA 15201",40.477314,-79.958188
"4841 Hatfield St, Pittsburgh, PA 15201",40.477424,-79.958018
"4902 Plum Way, Pittsburgh, PA 15201",40.477876,-79.95785
"4914 Harrison St, Pittsburgh, PA 15201",40.478316,-79.95786
"4927 Hatfield St, Pittsburgh, PA 15201",40.478203,-79.957095
"5249 Duncan St, Pittsburgh, PA 15201",40.479632,-79.950474
"5315 Carnegie St, Pittsburgh, PA 15201",40.481988,-79.951371
"5317 Dresden Way, Pittsburgh, PA 15201",40.482232,-79.951642
"5319 Carnegie St, Pittsburgh, PA 15201",40.482039,-79.951253
"5331 Carnegie St, Pittsburgh, PA 15201",40.482237,-79.950901
"5403 Carnegie St, Pittsburgh, PA 15201",40.482493,-79.950487
"5404 Carnegie St, Pittsburgh, PA 15201",40.482324,-79.95019
"5406 Natrona Way, Pittsburgh, PA 15201",40.482156,-79.949833
"5407 Dresden Way, Pittsburgh, PA 15201",40.48287,-79.950681
"5409 Carnegie St, Pittsburgh, PA 15201",40.482588,-79.950321
"5410 Butler St, Pittsburgh, PA 15201",40.482831,-79.950583
"5414 Natrona Way, Pittsburgh, PA 15201",40.482277,-79.949594
"5415 Natrona Way, Pittsburgh, PA 15201",40.482399,-79.949695
"5416 Carnegie St, Pittsburgh, PA 15201",40.482544,-79.94984
"5416 Dresden Way, Pittsburgh, PA 15201",40.482782,-79.950263
"5421 Dresden Way, Pittsburgh, PA 15201",40.483001,-79.950293
"5424 Carnegie St, Pittsburgh, PA 15201",40.482655,-79.949578
"5424 Harrison St, Pittsburgh, PA 15201",40.483735,-79.95102
"5425 Butler St, Pittsburgh, PA 15201",40.483563,-79.950657
"5425 Carnegie St, Pittsburgh, PA 15201",40.482871,-79.949807
"5426 Carnegie St, Pittsburgh, PA 15201",40.48269,-79.949536
"5428 Butler St, Pittsburgh, PA 15201",40.483166,-79.950198
"210 Main St, Pittsburgh, PA 15201",40.469422,-79.960603
"216 Fisk St, Pittsburgh, PA 15201",40.468669,-79.961177
"217 40th St, Pittsburgh, PA 15201",40.468416,-79.961597
"221 Fisk St, Pittsburgh, PA 15201",40.468845,-79.960656
"224 Fisk St, Pittsburgh, PA 15201",40.468492,-79.960957
"225 Fisk St, Pittsburgh, PA 15201",40.468775,-79.960504
"228 Fisk St, Pittsburgh, PA 15201",40.468475,-79.960789
"233 40th St, Pittsburgh, PA 15201",40.468092,-79.961217
"235 40th St, Pittsburgh, PA 15201",40.468044,-79.961133
"245 40th St, Pittsburgh, PA 15201",40.467847,-79.960882
"253 Fisk St, Pittsburgh, PA 15201",40.468163,-79.959806
"254 Fisk St, Pittsburgh, PA 15201",40.46794,-79.960104
"255 Fisk St, Pittsburgh, PA 15201",40.468135,-79.959739
"263 Fisk St, Pittsburgh, PA 15201",40.467922,-79.959498
"264 Main St, Pittsburgh, PA 15201",40.468282,-79.959094
"270 Main St, Pittsburgh, PA 15201",40.468106,-79.958952
"271 Fisk St, Pittsburgh, PA 15201",40.467764,-79.959318
"272 Fisk St, Pittsburgh, PA 15201",40.467541,-79.959638
"274 Fisk St, Pittsburgh, PA 15201",40.467489,-79.959606
"276 Fisk St, Pittsburgh, PA 15201",40.467416,-79.95956
"300 Main St, Pittsburgh, PA 15201",40.467378,-79.957934
"3137 Spring Way, Pittsburgh, PA 15201",40.460158,-79.970259
"3143 Spring Way, Pittsburgh, PA 15201",40.460239,-79.970119
