city,state,population_density,population_trend,lat,lon
Pembroke Pines,Florida,"5,109",+9.46%,26.021,-80.3404
Salem,Oregon,"3,445",+8.27%,44.9237,-123.0232
Springfield,Missouri,"2,033",+4.90%,37.1942,-93.2913
Corona,California,"4,222",+9.46%,33.862,-117.5655
Eugene,Oregon,"3,777",+6.65%,44.0567,-123.1162
Fort Collins,Colorado,"2,943",+14.04%,40.5482,-105.0648
Peoria,Arizona,934,+6.56%,33.7862,-112.308
Frisco,Texas,"2,417",+39.89%,33.1554,-96.8226
Cary,North Carolina,"2,873",+20.03%,35.7809,-78.8133
Lancaster,California,"1,698",+2.22%,34.6936,-118.1753
Hayward,California,"3,493",+10.23%,37.6287,-122.1024
Palmdale,California,"1,484",+3.02%,34.591,-118.1054
Salinas,California,"6,662",+4.50%,36.6902,-121.6337
Alexandria,Virginia,"10,387",+11.32%,38.8201,-77.0841
Lakewood,Colorado,"3,599",+7.98%,39.6989,-105.1176
Springfield,Massachusetts,"4,830",+0.66%,42.1155,-72.54
Pasadena,Texas,"3,525",+2.89%,29.6586,-95.1506
Sunnyvale,California,"6,944",+9.06%,37.3858,-122.0263
Macon,Georgia,612,+67.00%,32.8088,-83.6942
Pomona,California,"6,630",+2.31%,34.0585,-117.7611
Hollywood,Florida,"5,568",+7.98%,26.031,-80.1646
Kansas City,Kansas,"1,216",+4.06%,39.1225,-94.7418
Escondido,California,"4,087",+5.35%,33.1331,-117.074
Clarksville,Tennessee,"1,529",+13.06%,36.5664,-87.3452
Joliet,Illinois,"2,302",+0.56%,41.5177,-88.1488
Rockford,Illinois,"2,325",-3.41%,42.2588,-89.0646
Torrance,California,"7,180",+1.21%,33.835,-118.3414
Naperville,Illinois,"3,802",+3.71%,41.7492,-88.162
Paterson,New Jersey,"17,500",+0.55%,40.9148,-74.1628
Savannah,Georgia,"1,417",+7.69%,32.0025,-81.1536
Bridgeport,Connecticut,"9,064",+1.18%,41.1874,-73.1958
Mesquite,Texas,"3,045",+2.80%,32.7629,-96.5888
